Rows;pg_time;redis_time
500;0.00024611393880787037;4.703168425925926e-06
1000;0.0005597342684259259;1.1489019236111112e-05
1500;0.0007569110536342592;1.647313619212963e-05
2000;0.0010122433608217593;2.368935974537037e-05
2500;0.001324088755925926;2.7469015555555556e-05
3000;0.0015195658759259258;3.5096785e-05
3500;0.001749221654837963;4.128429101851852e-05
4000;0.002054413008773148;4.900011609953704e-05
4500;0.0023408298803819444;5.6005593333333335e-05
5000;0.0025291079853587963;6.488033788194444e-05
5500;0.0027879628192824073;5.394667767361111e-05
6000;0.0030909125573842593;5.905553586805555e-05
6500;0.0033182310332986113;6.567786527777777e-05
7000;0.003580325154571759;7.07994622337963e-05
7500;0.0038525416830671295;7.64768742361111e-05
8000;0.004088179544178241;8.029487568287037e-05
8500;0.004355225825555555;8.544887519675926e-05
9000;0.004595461697048611;9.337888425925925e-05
9500;0.0048582127977546295;0.00010421505261574073
10000;0.005066440909571759;0.00010933868636574073
10500;0.005365457648761574;0.00011647703131944445
11000;0.00563476352912037;0.00012145129266203703
11500;0.005922704323564815;0.00012828712063657407
12000;0.006196593828842593;0.00013552957260416667
12500;0.006453399673530092;0.00014266826712962962
13000;0.006674709012256945;0.00015108994953703703
13500;0.006946298513541667;0.0001649530839236111
14000;0.007176836883900463;0.00017344964837962963
14500;0.00734630269400463;0.00018456392476851852
15000;0.007193235121319444;0.00019802314166666668
15500;0.007348829446782407;0.00016555931802083335
16000;0.00662757859800926;0.00015015511233796298
16500;0.006820162882962963;0.0001669518202199074
17000;0.007360067595439815;0.00017068230061342593
17500;0.008352840957604166;0.00015836261712962962
18000;0.009134476890069444;0.00016491301563657408
18500;0.009485844277118056;0.00017862744760416667
19000;0.009719498189155093;0.00018462869190972222
19500;0.009983949501886575;0.00018934024848379628
20000;0.010243923792430555;0.00019706883328703703
20500;0.01048332747568287;0.00020221222944444444
21000;0.01074294586675926;0.0002120450532523148
21500;0.011003569954178241;0.00021320945349537036
22000;0.011258191505347221;0.00022150427659722223
22500;0.011512472359467592;0.00022496170226851851
23000;0.01175631643380787;0.00023988613208333334
23500;0.012031813471886574;0.0002428102861111111
24000;0.01228564832130787;0.00024932575216435186
24500;0.012543059564456019;0.00025755425787037036
25000;0.012769654569328704;0.00026448645070601854
25500;0.013036716359861112;0.0002749567540856482
26000;0.01329174035162037;0.0002865125982986111
26500;0.013557374680092592;0.00029064616126157406
27000;0.013804113992037037;0.00030339611787037036
27500;0.014046052620868055;0.00032857808233796294
28000;0.014305679729594907;0.00033518181160879627
28500;0.014568075962546296;0.00033823830537037036
29000;0.01484150745712963;0.00035254853539351853
29500;0.015534011057939815;0.0003595299402662037
30000;0.015314940206122686;0.0002798544914351852
30500;0.015580332127974538;0.00028610632033564815
31000;0.015854352191805556;0.00028653313674768517
31500;0.01608080527443287;0.0002944863892476852
32000;0.01627820745622685;0.0003241347728009259
32500;0.016567682527083332;0.00035584559194444445
33000;0.016861327756215277;0.00039495479221064814
33500;0.01709862478199074;0.0003153539676157407
34000;0.01735949239650463;0.0003190000169212963
34500;0.017592296989849536;0.00035100611414351854
35000;0.017859741450011575;0.0003816065312037037
35500;0.01797492912482639;0.0003352998755902778
36000;0.018265215450208334;0.0003391414368171296
36500;0.01866004327162037;0.00037054780164351854
37000;0.018890499502233798;0.00041189101229166666
37500;0.019069928229745372;0.0003534328392824074
38000;0.019126322519247684;0.0003560221330324074
38500;0.019284829295902778;0.00035827298608796294
39000;0.019676886295127316;0.00036091061471064815
39500;0.0199009945603125;0.000401032619212963
40000;0.020049795106354167;0.00043846664252314817
40500;0.02041427940966435;0.0003795323735069444
41000;0.020566939027337965;0.0003830217186458333
41500;0.020790704910868055;0.0003873010307986111
42000;0.021161425672766205;0.0004155068452662037
42500;0.02122850976763889;0.00046556250355324076
43000;0.02169669045496528;0.00040667232474537036
43500;0.021832598948414352;0.00044637440960648147
44000;0.02210171274371528;0.0004103004971296296
44500;0.022400325875983795;0.00041910185761574075
45000;0.02265648575920139;0.00042231176028935185
45500;0.023105987878333335;0.0004517155090046296
46000;0.02325303655347222;0.0004317049553125
46500;0.023324737333113427;0.00047861905392361113
47000;0.023567288252465277;0.0004440096135185185
47500;0.023856290345347222;0.000447909680162037
48000;0.024105735443645835;0.000446790832025463
48500;0.02434165152744213;0.0004509264041435185
49000;0.02456973156349537;0.00045867661748842594
49500;0.02485058380466435;0.0004642208630902778
50000;0.025118008974525464;0.0004694287944328704
