Rows,pg_time,redis_time
500,6.848343372344971,0.9883437156677246
1000,12.734880208969116,1.9354832172393799
1500,19.54022789001465,3.0381546020507812
2000,25.968843698501587,4.007160425186157
2500,32.8745219707489,4.779051065444946
3000,38.83563995361328,5.830233097076416
3500,48.49555444717407,7.436193466186523
4000,53.71942186355591,8.459798336029053
4500,61.01660442352295,9.65425729751587
5000,67.41924452781677,11.007146120071411
5500,72.36562919616699,11.358418464660645
6000,76.13529086112976,11.573473930358887
6500,84.87060189247131,13.497984170913696
7000,92.92020535469055,14.562702417373657
7500,98.885009765625,16.21914291381836
8000,106.75964212417603,16.930094480514526
8500,112.82264184951782,18.042491912841797
9000,116.5275092124939,18.259679317474365
9500,127.82968831062317,21.34364628791809
10000,138.7900574207306,22.83448338508606
10500,140.5254828929901,22.937781810760498
11000,150.854430437088,24.97130584716797
11500,158.48916912078857,27.141690254211426
12000,164.77543377876282,28.86761498451233
12500,172.97882223129272,30.31720209121704
13000,175.06450080871582,29.79302740097046
13500,183.32765126228333,30.8353054523468
14000,191.31763863563538,33.305999517440796
14500,207.53278183937073,35.40314865112305
15000,212.04672288894653,36.10367274284363
15500,213.22934865951538,36.61517286300659
